0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_20_13,cvxps_size,9.5056745,cutoff-w-sep-10,1.379028514,0.145074241,0.2545064,cutoff-w-sep-16,1.359498231,0.143019649,0.4163255,cutoff-w-sep-22,1.636891761,0.172201537,0.5603586,cutoff-w-sep-28,1.905552239,0.200464705,0.7128104
ret_cvxp_20_14,cvxps_size,9.1350445,cutoff-w-sep-10,0.687672146,0.075278467,0.2011109,cutoff-w-sep-16,1.102417174,0.12068,0.3380036,cutoff-w-sep-22,1.335837875,0.146232224,0.4589414,cutoff-w-sep-28,1.356242289,0.148465866,0.6105176
ret_cvxp_20_15,cvxps_size,8.945166,cutoff-w-sep-10,1.032924903,0.115472972,0.2870102,cutoff-w-sep-16,1.308235743,0.146250583,0.4555546,cutoff-w-sep-22,1.424032391,0.159195748,0.6273757,cutoff-w-sep-28,1.604073458,0.179322939,0.791919
ret_cvxp_20_2,cvxps_size,5.033903,cutoff-w-sep-10,0.563162356,0.111873899,0.2296106,cutoff-w-sep-16,0.676374577,0.134363848,0.3441681,cutoff-w-sep-22,0.69827623,0.138714677,0.4954853,cutoff-w-sep-28,0.728391003,0.144697068,0.6276028
ret_cvxp_20_21,cvxps_size,12.1094865,cutoff-w-sep-10,1.01281646,0.083638267,0.2250614,cutoff-w-sep-16,1.23660438,0.102118647,0.3428311,cutoff-w-sep-22,1.525445185,0.125971088,0.5039911,cutoff-w-sep-28,1.498314834,0.123730666,0.6098235
ret_cvxp_20_22,cvxps_size,13.740094,cutoff-w-sep-10,1.334831526,0.097148646,0.2281827,cutoff-w-sep-16,1.221267086,0.088883459,0.3788553,cutoff-w-sep-22,1.446598543,0.105283017,0.5152133,cutoff-w-sep-28,1.611634636,0.117294295,0.6347622
ret_cvxp_20_23,cvxps_size,14.5796265,cutoff-w-sep-10,2.100736801,0.144087148,0.2256353,cutoff-w-sep-16,2.795343698,0.191729445,0.3764341,cutoff-w-sep-22,3.129480483,0.214647507,0.5102568,cutoff-w-sep-28,3.27091312,0.224348211,0.6525622
ret_cvxp_20_24,cvxps_size,13.631519,cutoff-w-sep-10,1.63472465,0.119922413,0.2293216,cutoff-w-sep-16,2.030220439,0.148935745,0.3678376,cutoff-w-sep-22,2.201401276,0.161493468,0.4986176,cutoff-w-sep-28,2.071052565,0.151931165,0.6842674
ret_cvxp_20_25,cvxps_size,13.6296535,cutoff-w-sep-10,1.495208501,0.109702606,0.1995204,cutoff-w-sep-16,2.100752916,0.154131058,0.3557499,cutoff-w-sep-22,2.466024379,0.18093082,0.487984,cutoff-w-sep-28,2.874612158,0.210908675,0.6450759
ret_cvxp_20_3,cvxps_size,5.021404,cutoff-w-sep-10,0.782016576,0.155736638,0.2561909,cutoff-w-sep-16,0.850318174,0.16933873,0.3872918,cutoff-w-sep-22,0.999700379,0.199087821,0.50906,cutoff-w-sep-28,0.991621695,0.197478971,0.6328815
